model,mutationScore_median_lo,mutationScore_median_hi,jaccard_median_lo,jaccard_median_hi
anthropic_claude-haiku-4.5,59.11,92.24000000000001,0.9900905223276151,0.997792857484495
anthropic_claude-sonnet-4.5,62.285,94.325,,
deepseek_deepseek-chat-v3.1,60.385000000000005,89.58,0.48075250414010606,0.5872161567128326
google_gemini-3.1-flash-lite,62.56,91.00999999999999,0.7594912326749104,0.8375625041938839
google_gemini-3.5-flash,59.915,90.705,,
meta-llama_llama-3.1-8b-instruct,66.745,90.66,0.4831638878593469,0.5466108314811824
meta-llama_llama-3.3-70b-instruct,64.63,91.32,0.44351909872031836,0.5484385043415223
openai_gpt-4o,62.89,92.5,,
openai_gpt-4o-mini,65.315,92.75,0.5366265537959705,0.5959948173102609
qwen_qwen-2.5-coder-32b-instruct,66.59,95.24000000000001,0.8966084748405947,0.9234913577031254
