model,package,run,runLabel,simulated,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
anthropic_claude-haiku-4.5,Complex.js,1,run1,,585,3,1,4,0.42857142857142855,0.16666666666666666,0.8
anthropic_claude-haiku-4.5,countries-and-timezones,1,run1,,167,7,5,10,0.5555555555555556,0.3021739130434783,0.8888888888888888
anthropic_claude-haiku-4.5,node-jsonfile,1,run1,,136,7,4,9,0.5625,0.27314814814814814,0.8709239130434783
anthropic_claude-haiku-4.5,pull-stream,1,run1,,619,5,4,8,0.6666666666666666,0.2857142857142857,0.8888888888888888
anthropic_claude-haiku-4.5,spacl-core,1,run1,,180,5,3,9,0.39230769230769236,0.18199233716475094,0.7713675213675214
anthropic_claude-haiku-4.5,zip-a-folder,1,run1,,80,7,3.75,13,0.4897435897435897,0.211734693877551,0.8333333333333334
anthropic_claude-sonnet-4.5,Complex.js,1,run1,,806,2,1,4,0.375,0.125,0.75
anthropic_claude-sonnet-4.5,countries-and-timezones,1,run1,,234,6,5,9,0.5,0.3025862068965517,0.8451417004048583
anthropic_claude-sonnet-4.5,node-jsonfile,1,run1,,171,6,4,8,0.5555555555555556,0.26296296296296295,0.8819444444444444
anthropic_claude-sonnet-4.5,pull-stream,1,run1,,787,4,3,6,0.75,0.2792207792207792,1
anthropic_claude-sonnet-4.5,spacl-core,1,run1,,240,4,2,6,0.35294117647058826,0.125,0.7142857142857143
anthropic_claude-sonnet-4.5,zip-a-folder,1,run1,,114,7,3,13,0.396969696969697,0.1931438127090301,0.8207720588235294
deepseek_deepseek-chat-v3.1,Complex.js,1,run1,,1106,3,1,6,0.5,0.2,1
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,run1,,261,7,5,12,0.5384615384615384,0.35714285714285715,0.8888888888888888
deepseek_deepseek-chat-v3.1,node-jsonfile,1,run1,,176,6,4,9,0.7416666666666667,0.3032608695652174,0.9208333333333333
