model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
google_gemini-2.5-flash,Complex.js,1,run1,,490,1357,1138,202,17,84,83.86145910095799,6.190125276344879,14.885777450257923,60.63,689,448,1,360.497,894841,100839,0.5205498,1138,3,1,5,0.4444444444444444,0.2,0.8
google_gemini-2.5-flash,countries-and-timezones,1,run1,,106,296,249,46,1,18,84.12162162162163,6.081081081081082,15.54054054054054,89.96,224,25,0,263.477,93198,22370,0.0838844,249,8,5,14,0.6666666666666666,0.38461538461538464,0.9
google_gemini-2.5-flash,node-jsonfile,1,run1,,68,199,174,25,0,5,87.43718592964824,2.512562814070352,12.562814070351758,80.46,62,34,78,553.354,50578,14210,0.0506984,174,7,4,10.75,0.7052631578947368,0.3491048593350384,0.9288732394366197
google_gemini-2.5-flash,pull-stream,1,run1,,351,1028,820,204,4,20,79.76653696498055,1.9455252918287937,19.844357976653697,67.32,480,268,72,1330.401,185351,72581,0.2370578,820,5,4,8,0.8,0.2857142857142857,1
google_gemini-2.5-flash,spacl-core,1,run1,,134,378,271,105,2,18,71.6931216931217,4.761904761904762,27.77777777777778,91.05,234,23,0,1089.747,150586,29082,0.11788080000000001,271,5,3,9,0.4,0.2,0.7777777777777778
google_gemini-2.5-flash,zip-a-folder,1,run1,,49,140,119,21,0,7,85,5,15,98.32,27,2,90,1199.866,73738,10893,0.0493539,119,10,5,14,0.5405405405405406,0.25,0.8856209150326797
google_gemini-2.5-flash,Complex.js,2,run2,,490,1357,1138,202,17,84,83.86145910095799,6.190125276344879,14.885777450257923,60.63,689,448,1,360.497,894841,100839,0.5205498,1138,3,1,5,0.4444444444444444,0.2,0.8
google_gemini-2.5-flash,countries-and-timezones,2,run2,,106,296,249,46,1,18,84.12162162162163,6.081081081081082,15.54054054054054,89.96,224,25,0,263.477,93198,22370,0.0838844,249,8,5,14,0.6666666666666666,0.38461538461538464,0.9
google_gemini-2.5-flash,node-jsonfile,2,run2,,68,199,174,25,0,5,87.43718592964824,2.512562814070352,12.562814070351758,80.46,62,34,78,553.354,50578,14210,0.0506984,174,7,4,10.75,0.7052631578947368,0.3491048593350384,0.9288732394366197
google_gemini-2.5-flash,pull-stream,2,run2,,351,1028,820,204,4,20,79.76653696498055,1.9455252918287937,19.844357976653697,67.32,480,268,72,1330.401,185351,72581,0.2370578,820,5,4,8,0.8,0.2857142857142857,1
