model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
meta-llama_llama-3.3-70b-instruct,Complex.js,1,run1,,490,1388,1145,242,1,87,82.492795389049,6.268011527377522,17.435158501440924,60.35,690,454,1,360.13,788702,99567,0.11073164,1145,4,2,10,0.5882352941176471,0.3181818181818182,0.9
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,run1,,106,311,275,36,0,7,88.42443729903538,2.2508038585209005,11.57556270096463,86.91,239,36,0,281.805,82968,21755,0.0152584,275,10,6,16,0.625,0.38461538461538464,0.8708333333333333
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,run1,,68,200,173,27,0,4,86.5,2,13.5,71.1,51,50,72,489.559,46466,13710,0.0090338,173,8,5,15,0.5714285714285714,0.3333333333333333,0.8333333333333334
meta-llama_llama-3.3-70b-instruct,pull-stream,1,run1,,351,1036,803,215,18,17,77.50965250965251,1.6409266409266408,20.752895752895753,66.75,487,267,49,1168.027,173055,68576,0.03924982,803,6,4,10,0.7142857142857143,0.3150375939849624,0.9
meta-llama_llama-3.3-70b-instruct,spacl-core,1,run1,,134,386,260,124,2,15,67.35751295336787,3.8860103626943006,32.12435233160622,85.66,208,35,1,961.887,137530,26522,0.022240040000000003,260,7,4,14,0.4891304347826087,0.25,0.7697802197802198
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,run1,,49,146,110,36,0,1,75.34246575342466,0.684931506849315,24.65753424657534,95.45,80,5,25,408.759,64946,10067,0.00971604,110,10,5,16.75,0.5381274131274132,0.2684931506849315,0.7692307692307693
meta-llama_llama-3.3-70b-instruct,Complex.js,2,run2,,490,1388,1145,242,1,87,82.492795389049,6.268011527377522,17.435158501440924,60.35,690,454,1,360.13,788702,99567,0.11073164,1145,4,2,10,0.5882352941176471,0.3181818181818182,0.9
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,2,run2,,106,311,275,36,0,7,88.42443729903538,2.2508038585209005,11.57556270096463,86.91,239,36,0,281.805,82968,21755,0.0152584,275,10,6,16,0.625,0.38461538461538464,0.8708333333333333
meta-llama_llama-3.3-70b-instruct,node-jsonfile,2,run2,,68,200,173,27,0,4,86.5,2,13.5,71.1,51,50,72,489.559,46466,13710,0.0090338,173,8,5,15,0.5714285714285714,0.3333333333333333,0.8333333333333334
meta-llama_llama-3.3-70b-instruct,pull-stream,2,run2,,351,1036,803,215,18,17,77.50965250965251,1.6409266409266408,20.752895752895753,66.75,487,267,49,1168.027,173055,68576,0.03924982,803,6,4,10,0.7142857142857143,0.3150375939849624,0.9
meta-llama_llama-3.3-70b-instruct,spacl-core,2,run2,,134,386,260,124,2,15,67.35751295336787,3.8860103626943006,32.12435233160622,85.66,208,35,1,961.887,137530,26522,0.022240040000000003,260,7,4,14,0.4891304347826087,0.25,0.7697802197802198
meta-llama_llama-3.3-70b-instruct,zip-a-folder,2,run2,,49,146,110,36,0,1,75.34246575342466,0.684931506849315,24.65753424657534,95.45,80,5,25,408.759,64946,10067,0.00971604,110,10,5,16.75,0.5381274131274132,0.2684931506849315,0.7692307692307693
meta-llama_llama-3.3-70b-instruct,Complex.js,3,run3,,490,1388,1145,242,1,87,82.492795389049,6.268011527377522,17.435158501440924,60.35,690,454,1,360.13,788702,99567,0.11073164,1145,4,2,10,0.5882352941176471,0.3181818181818182,0.9
