model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
meta-llama_llama-4-maverick,Complex.js,1,run1,,490,1078,752,320,6,65,69.75881261595546,6.029684601113173,29.684601113172544,58.64,441,311,0,219.591,781479,122454,0.19069425,752,4,2,9,0.5555555555555556,0.2857142857142857,0.9375
meta-llama_llama-4-maverick,countries-and-timezones,1,run1,,106,226,166,59,1,7,73.45132743362832,3.0973451327433628,26.10619469026549,86.75,144,22,0,176.492,81347,26598,0.02816085,166,8,5,14,0.6363636363636364,0.38461538461538464,0.9
meta-llama_llama-4-maverick,node-jsonfile,1,run1,,68,124,94,30,0,5,75.80645161290323,4.032258064516129,24.193548387096776,81.91,43,17,34,272.551,46566,17002,0.0171861,94,8,4,11,0.6861538461538461,0.3107692307692308,0.8888888888888888
meta-llama_llama-4-maverick,pull-stream,1,run1,,351,675,465,199,11,19,68.88888888888889,2.814814814814815,29.48148148148148,69.03,280,144,41,753.94,169371,87832,0.07810484999999999,465,5,4,7,0.8333333333333334,0.3333333333333333,1
meta-llama_llama-4-maverick,spacl-core,1,run1,,134,251,159,84,8,8,63.34661354581673,3.187250996015936,33.46613545816733,88.16,134,18,0,509.318,136793,33511,0.040625549999999996,159,6,3,10,0.5,0.2554347826086957,0.8
meta-llama_llama-4-maverick,zip-a-folder,1,run1,,49,100,70,28,2,3,70,3,28.000000000000004,97.14,12,2,56,738.199,65478,12165,0.0171207,70,10.5,5,17,0.5984432234432234,0.2716181506849315,0.8932748538011696
meta-llama_llama-4-maverick,Complex.js,2,run2,,490,1078,752,320,6,65,69.75881261595546,6.029684601113173,29.684601113172544,58.64,441,311,0,219.591,781479,122454,0.19069425,752,4,2,9,0.5555555555555556,0.2857142857142857,0.9375
meta-llama_llama-4-maverick,countries-and-timezones,2,run2,,106,226,166,59,1,7,73.45132743362832,3.0973451327433628,26.10619469026549,86.75,144,22,0,176.492,81347,26598,0.02816085,166,8,5,14,0.6363636363636364,0.38461538461538464,0.9
meta-llama_llama-4-maverick,node-jsonfile,2,run2,,68,124,94,30,0,5,75.80645161290323,4.032258064516129,24.193548387096776,81.91,43,17,34,272.551,46566,17002,0.0171861,94,8,4,11,0.6861538461538461,0.3107692307692308,0.8888888888888888
meta-llama_llama-4-maverick,pull-stream,2,run2,,351,675,465,199,11,19,68.88888888888889,2.814814814814815,29.48148148148148,69.03,280,144,41,753.94,169371,87832,0.07810484999999999,465,5,4,7,0.8333333333333334,0.3333333333333333,1
meta-llama_llama-4-maverick,spacl-core,2,run2,,134,251,159,84,8,8,63.34661354581673,3.187250996015936,33.46613545816733,88.16,134,18,0,509.318,136793,33511,0.040625549999999996,159,6,3,10,0.5,0.2554347826086957,0.8
meta-llama_llama-4-maverick,zip-a-folder,2,run2,,49,100,70,28,2,3,70,3,28.000000000000004,97.14,12,2,56,738.199,65478,12165,0.0171207,70,10.5,5,17,0.5984432234432234,0.2716181506849315,0.8932748538011696
meta-llama_llama-4-maverick,Complex.js,3,run3,,490,1078,752,320,6,65,69.75881261595546,6.029684601113173,29.684601113172544,58.64,441,311,0,219.591,781479,122454,0.19069425,752,4,2,9,0.5555555555555556,0.2857142857142857,0.9375
meta-llama_llama-4-maverick,countries-and-timezones,3,run3,,106,226,166,59,1,7,73.45132743362832,3.0973451327433628,26.10619469026549,86.75,144,22,0,176.492,81347,26598,0.02816085,166,8,5,14,0.6363636363636364,0.38461538461538464,0.9
