model,package,run,runLabel,mutationScore,nrSurvived
anthropic_claude-haiku-4.5,Complex.js,1,run1,55.38,261
anthropic_claude-haiku-4.5,countries-and-timezones,1,run1,79.64,34
anthropic_claude-haiku-4.5,node-jsonfile,1,run1,67.65,44
anthropic_claude-haiku-4.5,pull-stream,1,run1,62.84,230
anthropic_claude-haiku-4.5,spacl-core,1,run1,86.98,22
anthropic_claude-haiku-4.5,zip-a-folder,1,run1,97.5,2
anthropic_claude-haiku-4.5,Complex.js,2,run2,55.38,261
anthropic_claude-haiku-4.5,countries-and-timezones,2,run2,79.64,34
anthropic_claude-haiku-4.5,node-jsonfile,2,run2,66.91,45
anthropic_claude-haiku-4.5,pull-stream,2,run2,62.78,230
anthropic_claude-haiku-4.5,spacl-core,2,run2,87.57,21
anthropic_claude-haiku-4.5,zip-a-folder,2,run2,97.5,2
anthropic_claude-haiku-4.5,Complex.js,3,run3,55.46,261
anthropic_claude-haiku-4.5,countries-and-timezones,3,run3,79.04,35
anthropic_claude-haiku-4.5,node-jsonfile,3,run3,66.91,45
anthropic_claude-haiku-4.5,pull-stream,3,run3,62.88,229
anthropic_claude-haiku-4.5,spacl-core,3,run3,87.57,21
anthropic_claude-haiku-4.5,zip-a-folder,3,run3,97.5,2
anthropic_claude-haiku-4.5,Complex.js,4,run4,55.61,261
anthropic_claude-haiku-4.5,countries-and-timezones,4,run4,79.64,34
anthropic_claude-haiku-4.5,node-jsonfile,4,run4,67.65,44
anthropic_claude-haiku-4.5,pull-stream,4,run4,62.62,231
anthropic_claude-haiku-4.5,spacl-core,4,run4,87.06,22
anthropic_claude-haiku-4.5,zip-a-folder,4,run4,97.5,2
anthropic_claude-haiku-4.5,Complex.js,5,run5,55.46,261
anthropic_claude-haiku-4.5,countries-and-timezones,5,run5,79.64,34
anthropic_claude-haiku-4.5,node-jsonfile,5,run5,66.91,45
anthropic_claude-haiku-4.5,pull-stream,5,run5,62.99,228
anthropic_claude-haiku-4.5,spacl-core,5,run5,87.57,21
anthropic_claude-haiku-4.5,zip-a-folder,5,run5,97.5,2
deepseek_deepseek-chat-v3.1,Complex.js,1,run1,54.79,500
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,run1,82.76,45
deepseek_deepseek-chat-v3.1,node-jsonfile,1,run1,80.11,35
deepseek_deepseek-chat-v3.1,pull-stream,1,run1,65.98,282
deepseek_deepseek-chat-v3.1,spacl-core,1,run1,83.33,40
deepseek_deepseek-chat-v3.1,zip-a-folder,1,run1,95.83,5
deepseek_deepseek-chat-v3.1,Complex.js,2,run2,56.13,494
deepseek_deepseek-chat-v3.1,countries-and-timezones,2,run2,84.5,42
deepseek_deepseek-chat-v3.1,node-jsonfile,2,run2,77.71,39
deepseek_deepseek-chat-v3.1,pull-stream,2,run2,63.65,297
deepseek_deepseek-chat-v3.1,spacl-core,2,run2,83.26,40
deepseek_deepseek-chat-v3.1,zip-a-folder,2,run2,94.78,6
deepseek_deepseek-chat-v3.1,Complex.js,3,run3,55.22,506
deepseek_deepseek-chat-v3.1,countries-and-timezones,3,run3,82.82,45
deepseek_deepseek-chat-v3.1,node-jsonfile,3,run3,78.65,38
deepseek_deepseek-chat-v3.1,pull-stream,3,run3,64.84,289
deepseek_deepseek-chat-v3.1,spacl-core,3,run3,85.26,37
deepseek_deepseek-chat-v3.1,zip-a-folder,3,run3,93.33,8
deepseek_deepseek-chat-v3.1,Complex.js,4,run4,54.49,512
deepseek_deepseek-chat-v3.1,countries-and-timezones,4,run4,83.14,43
deepseek_deepseek-chat-v3.1,node-jsonfile,4,run4,78.74,37
deepseek_deepseek-chat-v3.1,pull-stream,4,run4,63.57,306
deepseek_deepseek-chat-v3.1,spacl-core,4,run4,80.74,47
deepseek_deepseek-chat-v3.1,zip-a-folder,4,run4,94.02,7
deepseek_deepseek-chat-v3.1,Complex.js,5,run5,53.62,513
deepseek_deepseek-chat-v3.1,countries-and-timezones,5,run5,85.5,39
deepseek_deepseek-chat-v3.1,node-jsonfile,5,run5,79.65,35
deepseek_deepseek-chat-v3.1,pull-stream,5,run5,63.99,296
deepseek_deepseek-chat-v3.1,spacl-core,5,run5,86.42,33
deepseek_deepseek-chat-v3.1,zip-a-folder,5,run5,93.28,8
google_gemini-3.1-flash-lite,Complex.js,1,run1,57.01,491
google_gemini-3.1-flash-lite,countries-and-timezones,1,run1,88,30
google_gemini-3.1-flash-lite,node-jsonfile,1,run1,77.5,36
google_gemini-3.1-flash-lite,pull-stream,1,run1,68.11,258
google_gemini-3.1-flash-lite,spacl-core,1,run1,84.62,38
google_gemini-3.1-flash-lite,zip-a-folder,1,run1,94.02,7
google_gemini-3.1-flash-lite,Complex.js,2,run2,57.23,491
google_gemini-3.1-flash-lite,countries-and-timezones,2,run2,87.1,32
google_gemini-3.1-flash-lite,node-jsonfile,2,run2,79.38,33
google_gemini-3.1-flash-lite,pull-stream,2,run2,68.05,261
google_gemini-3.1-flash-lite,spacl-core,2,run2,85.48,36
google_gemini-3.1-flash-lite,zip-a-folder,2,run2,95.69,5
google_gemini-3.1-flash-lite,Complex.js,3,run3,56.65,495
google_gemini-3.1-flash-lite,countries-and-timezones,3,run3,86.94,32
google_gemini-3.1-flash-lite,node-jsonfile,3,run3,78.26,35
google_gemini-3.1-flash-lite,pull-stream,3,run3,68.86,255
google_gemini-3.1-flash-lite,spacl-core,3,run3,84.65,39
google_gemini-3.1-flash-lite,zip-a-folder,3,run3,93.91,7
google_gemini-3.1-flash-lite,Complex.js,4,run4,57.52,489
google_gemini-3.1-flash-lite,countries-and-timezones,4,run4,88,30
google_gemini-3.1-flash-lite,node-jsonfile,4,run4,79.88,33
google_gemini-3.1-flash-lite,pull-stream,4,run4,68.26,259
google_gemini-3.1-flash-lite,spacl-core,4,run4,84.86,38
google_gemini-3.1-flash-lite,zip-a-folder,4,run4,95.69,5
google_gemini-3.1-flash-lite,Complex.js,5,run5,57.26,489
google_gemini-3.1-flash-lite,countries-and-timezones,5,run5,87.15,32
google_gemini-3.1-flash-lite,node-jsonfile,5,run5,79.5,33
