llm,package,run,run_number,total_surviving,predicted_equivalent,predicted_behavioral,equiv_rate_pct,ci_low_pct,ci_high_pct,confidence_interval
anthropic_claude-haiku-4.5,Complex.js,run1,1,261,29,232,11.1111,7.6628,14.9425,"(7.7%, 14.9%)"
anthropic_claude-haiku-4.5,countries-and-timezones,run1,1,34,17,17,50.0,32.3529,67.6471,"(32.4%, 67.6%)"
anthropic_claude-haiku-4.5,node-jsonfile,run1,1,44,10,34,22.7273,11.3636,36.3636,"(11.4%, 36.4%)"
anthropic_claude-haiku-4.5,pull-stream,run1,1,230,7,223,3.0435,0.8696,5.6522,"(0.9%, 5.7%)"
anthropic_claude-haiku-4.5,spacl-core,run1,1,21,9,12,42.8571,23.8095,66.6667,"(23.8%, 66.7%)"
anthropic_claude-haiku-4.5,zip-a-folder,run1,1,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
anthropic_claude-sonnet-4.5,Complex.js,run1,1,361,45,316,12.4654,9.1413,16.0665,"(9.1%, 16.1%)"
anthropic_claude-sonnet-4.5,countries-and-timezones,run1,1,40,15,25,37.5,22.5,52.5,"(22.5%, 52.5%)"
anthropic_claude-sonnet-4.5,node-jsonfile,run1,1,42,14,28,33.3333,19.0476,47.619,"(19.0%, 47.6%)"
anthropic_claude-sonnet-4.5,pull-stream,run1,1,240,3,237,1.25,0.0,2.9167,"(0.0%, 2.9%)"
anthropic_claude-sonnet-4.5,spacl-core,run1,1,17,7,10,41.1765,17.6471,64.7059,"(17.6%, 64.7%)"
anthropic_claude-sonnet-4.5,zip-a-folder,run1,1,4,0,4,0.0,0.0,0.0,"(0.0%, 0.0%)"
deepseek_deepseek-chat-v3.1,Complex.js,run1,1,511,65,446,12.7202,9.9804,15.6556,"(10.0%, 15.7%)"
deepseek_deepseek-chat-v3.1,countries-and-timezones,run1,1,47,23,24,48.9362,34.0426,63.8298,"(34.0%, 63.8%)"
deepseek_deepseek-chat-v3.1,node-jsonfile,run1,1,33,9,24,27.2727,12.1212,42.4242,"(12.1%, 42.4%)"
deepseek_deepseek-chat-v3.1,pull-stream,run1,1,299,3,296,1.0033,0.0,2.3411,"(0.0%, 2.3%)"
deepseek_deepseek-chat-v3.1,spacl-core,run1,1,35,19,16,54.2857,37.1429,71.4286,"(37.1%, 71.4%)"
deepseek_deepseek-chat-v3.1,zip-a-folder,run1,1,8,0,8,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-3.1-flash-lite,Complex.js,run1,1,491,75,416,15.2749,12.22,18.5336,"(12.2%, 18.5%)"
google_gemini-3.1-flash-lite,countries-and-timezones,run1,1,30,11,19,36.6667,20.0,53.3333,"(20.0%, 53.3%)"
google_gemini-3.1-flash-lite,node-jsonfile,run1,1,36,8,28,22.2222,11.0417,36.1111,"(11.0%, 36.1%)"
google_gemini-3.1-flash-lite,pull-stream,run1,1,258,7,251,2.7132,0.7752,5.0388,"(0.8%, 5.0%)"
google_gemini-3.1-flash-lite,spacl-core,run1,1,33,17,16,51.5152,33.3333,66.6667,"(33.3%, 66.7%)"
google_gemini-3.1-flash-lite,zip-a-folder,run1,1,7,0,7,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-3.1-8b-instruct,Complex.js,run1,1,408,7,401,1.7157,0.4902,3.1863,"(0.5%, 3.2%)"
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,run1,1,47,15,32,31.9149,19.1489,44.6809,"(19.1%, 44.7%)"
meta-llama_llama-3.1-8b-instruct,node-jsonfile,run1,1,42,7,35,16.6667,7.1429,28.5714,"(7.1%, 28.6%)"
meta-llama_llama-3.1-8b-instruct,pull-stream,run1,1,227,5,222,2.2026,0.4405,4.4053,"(0.4%, 4.4%)"
meta-llama_llama-3.1-8b-instruct,spacl-core,run1,1,32,16,16,50.0,34.375,68.75,"(34.4%, 68.8%)"
meta-llama_llama-3.1-8b-instruct,zip-a-folder,run1,1,5,0,5,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-3.3-70b-instruct,Complex.js,run1,1,454,40,414,8.8106,6.3877,11.4537,"(6.4%, 11.5%)"
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,run1,1,36,18,18,50.0,33.3333,66.6667,"(33.3%, 66.7%)"
meta-llama_llama-3.3-70b-instruct,node-jsonfile,run1,1,50,13,37,26.0,14.0,38.0,"(14.0%, 38.0%)"
meta-llama_llama-3.3-70b-instruct,pull-stream,run1,1,267,9,258,3.3708,1.4981,5.618,"(1.5%, 5.6%)"
meta-llama_llama-3.3-70b-instruct,spacl-core,run1,1,32,14,18,43.75,28.125,62.5,"(28.1%, 62.5%)"
meta-llama_llama-3.3-70b-instruct,zip-a-folder,run1,1,5,0,5,0.0,0.0,0.0,"(0.0%, 0.0%)"
openai_gpt-4o,Complex.js,run1,1,482,59,423,12.2407,9.3361,15.1452,"(9.3%, 15.1%)"
openai_gpt-4o,countries-and-timezones,run1,1,33,12,21,36.3636,21.2121,54.5455,"(21.2%, 54.5%)"
openai_gpt-4o,node-jsonfile,run1,1,41,9,32,21.9512,9.7561,34.2073,"(9.8%, 34.2%)"
openai_gpt-4o,pull-stream,run1,1,268,6,262,2.2388,0.7463,4.1045,"(0.7%, 4.1%)"
openai_gpt-4o,spacl-core,run1,1,25,8,17,32.0,16.0,52.0,"(16.0%, 52.0%)"
openai_gpt-4o,zip-a-folder,run1,1,5,0,5,0.0,0.0,0.0,"(0.0%, 0.0%)"
openai_gpt-4o-mini,Complex.js,run1,1,408,26,382,6.3725,4.1667,8.8235,"(4.2%, 8.8%)"
openai_gpt-4o-mini,countries-and-timezones,run1,1,42,27,15,64.2857,50.0,78.5714,"(50.0%, 78.6%)"
openai_gpt-4o-mini,node-jsonfile,run1,1,28,5,23,17.8571,3.5714,32.1429,"(3.6%, 32.1%)"
openai_gpt-4o-mini,pull-stream,run1,1,242,3,239,1.2397,0.0,2.8926,"(0.0%, 2.9%)"
openai_gpt-4o-mini,spacl-core,run1,1,18,9,9,50.0,27.7778,72.2222,"(27.8%, 72.2%)"
openai_gpt-4o-mini,zip-a-folder,run1,1,4,0,4,0.0,0.0,0.0,"(0.0%, 0.0%)"
qwen_qwen-2.5-coder-32b-instruct,Complex.js,run1,1,404,35,369,8.6634,6.1881,11.3861,"(6.2%, 11.4%)"
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,run1,1,19,7,12,36.8421,15.7895,57.8947,"(15.8%, 57.9%)"
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,run1,1,28,6,22,21.4286,7.1429,39.2857,"(7.1%, 39.3%)"
qwen_qwen-2.5-coder-32b-instruct,pull-stream,run1,1,247,2,245,0.8097,0.0,2.0243,"(0.0%, 2.0%)"
qwen_qwen-2.5-coder-32b-instruct,spacl-core,run1,1,11,6,5,54.5455,27.2727,81.8182,"(27.3%, 81.8%)"
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,run1,1,5,0,5,0.0,0.0,0.0,"(0.0%, 0.0%)"
