model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
anthropic_claude-sonnet-4.5,Complex.js,1,run1,,490,1168,815,335,18,66,69.77739726027397,5.650684931506849,28.68150684931507,55.71,454,361,0,245.677,923393,122500,4.607679,0.003944930650684931,0.005653593865030675,0.006151774365821095,0.012763653739612189,0.014581262658227848,0.0827082929456112,45,316
anthropic_claude-sonnet-4.5,countries-and-timezones,1,run1,,106,285,233,48,4,21,81.75438596491227,7.368421052631578,16.842105263157894,82.83,193,40,0,248.013,100232,25906,0.6892860000000001,0.002418547368421053,0.0029583090128755367,0.003251349056603774,0.01723215,0.027571440000000003,0.0083216950380297,15,25
anthropic_claude-sonnet-4.5,node-jsonfile,1,run1,,68,192,170,21,1,8,88.54166666666666,4.166666666666666,10.9375,75.29,68,42,60,488.813,53339,15698,0.39548700000000003,0.002059828125,0.002326394117647059,0.002441277777777778,0.009416357142857143,0.014124535714285716,0.005252848983928808,14,28
anthropic_claude-sonnet-4.5,pull-stream,1,run1,,351,925,789,133,3,32,85.29729729729729,3.4594594594594597,14.378378378378379,69.58,481,240,68,1256.12,188727,85626,1.850571,0.002000617297297297,0.002345463878326996,0.0024446116248348746,0.0077107124999999995,0.007808316455696202,0.026596306409887898,3,237
anthropic_claude-sonnet-4.5,spacl-core,1,run1,,134,354,243,107,4,20,68.64406779661016,5.649717514124294,30.225988700564972,92.21,213,18,0,937.821,155672,32739,0.9581009999999999,0.0027064999999999997,0.003942802469135802,0.0042964170403587435,0.05322783333333333,0.08710009090909089,0.010390424032100639,7,11
anthropic_claude-sonnet-4.5,zip-a-folder,1,run1,,49,137,115,17,5,6,83.94160583941606,4.37956204379562,12.408759124087592,96.52,24,4,87,1119.306,81937,12002,0.425841,0.003108328467153285,0.0037029652173913045,0.003906798165137615,0.10646025,0.10646025,0.004411945710733527,0,4
anthropic_claude-sonnet-4.5,Complex.js,2,run2,,490,1168,815,335,18,66,69.77739726027397,5.650684931506849,28.68150684931507,55.71,454,361,0,245.677,923393,122500,4.607679,0.003944930650684931,0.005653593865030675,0.006151774365821095,0.012763653739612189,0.014581262658227848,0.0827082929456112,45,316
anthropic_claude-sonnet-4.5,countries-and-timezones,2,run2,,106,285,233,48,4,21,81.75438596491227,7.368421052631578,16.842105263157894,82.83,193,40,0,248.013,100232,25906,0.6892860000000001,0.002418547368421053,0.0029583090128755367,0.003251349056603774,0.01723215,0.027571440000000003,0.0083216950380297,15,25
anthropic_claude-sonnet-4.5,node-jsonfile,2,run2,,68,192,170,21,1,8,88.54166666666666,4.166666666666666,10.9375,75.29,68,42,60,488.813,53339,15698,0.39548700000000003,0.002059828125,0.002326394117647059,0.002441277777777778,0.009416357142857143,0.014124535714285716,0.005252848983928808,14,28
anthropic_claude-sonnet-4.5,pull-stream,2,run2,,351,925,789,133,3,32,85.29729729729729,3.4594594594594597,14.378378378378379,69.58,481,240,68,1256.12,188727,85626,1.850571,0.002000617297297297,0.002345463878326996,0.0024446116248348746,0.0077107124999999995,0.007808316455696202,0.026596306409887898,3,237
anthropic_claude-sonnet-4.5,spacl-core,2,run2,,134,354,243,107,4,20,68.64406779661016,5.649717514124294,30.225988700564972,92.21,213,18,0,937.821,155672,32739,0.9581009999999999,0.0027064999999999997,0.003942802469135802,0.0042964170403587435,0.05322783333333333,0.08710009090909089,0.010390424032100639,7,11
anthropic_claude-sonnet-4.5,zip-a-folder,2,run2,,49,137,115,17,5,6,83.94160583941606,4.37956204379562,12.408759124087592,96.52,24,4,87,1119.306,81937,12002,0.425841,0.003108328467153285,0.0037029652173913045,0.003906798165137615,0.10646025,0.10646025,0.004411945710733527,0,4
anthropic_claude-sonnet-4.5,Complex.js,3,run3,,490,1168,815,335,18,66,69.77739726027397,5.650684931506849,28.68150684931507,55.71,454,361,0,245.677,923393,122500,4.607679,0.003944930650684931,0.005653593865030675,0.006151774365821095,0.012763653739612189,0.014581262658227848,0.0827082929456112,45,316
anthropic_claude-sonnet-4.5,countries-and-timezones,3,run3,,106,285,233,48,4,21,81.75438596491227,7.368421052631578,16.842105263157894,82.83,193,40,0,248.013,100232,25906,0.6892860000000001,0.002418547368421053,0.0029583090128755367,0.003251349056603774,0.01723215,0.027571440000000003,0.0083216950380297,15,25
anthropic_claude-sonnet-4.5,node-jsonfile,3,run3,,68,192,170,21,1,8,88.54166666666666,4.166666666666666,10.9375,75.29,68,42,60,488.813,53339,15698,0.39548700000000003,0.002059828125,0.002326394117647059,0.002441277777777778,0.009416357142857143,0.014124535714285716,0.005252848983928808,14,28
anthropic_claude-sonnet-4.5,pull-stream,3,run3,,351,925,789,133,3,32,85.29729729729729,3.4594594594594597,14.378378378378379,69.58,481,240,68,1256.12,188727,85626,1.850571,0.002000617297297297,0.002345463878326996,0.0024446116248348746,0.0077107124999999995,0.007808316455696202,0.026596306409887898,3,237
anthropic_claude-sonnet-4.5,spacl-core,3,run3,,134,354,243,107,4,20,68.64406779661016,5.649717514124294,30.225988700564972,92.21,213,18,0,937.821,155672,32739,0.9581009999999999,0.0027064999999999997,0.003942802469135802,0.0042964170403587435,0.05322783333333333,0.08710009090909089,0.010390424032100639,7,11
anthropic_claude-sonnet-4.5,zip-a-folder,3,run3,,49,137,115,17,5,6,83.94160583941606,4.37956204379562,12.408759124087592,96.52,24,4,87,1119.306,81937,12002,0.425841,0.003108328467153285,0.0037029652173913045,0.003906798165137615,0.10646025,0.10646025,0.004411945710733527,0,4
anthropic_claude-sonnet-4.5,Complex.js,4,run4,,490,1168,815,335,18,66,69.77739726027397,5.650684931506849,28.68150684931507,55.71,454,361,0,245.677,923393,122500,4.607679,0.003944930650684931,0.005653593865030675,0.006151774365821095,0.012763653739612189,0.014581262658227848,0.0827082929456112,45,316
anthropic_claude-sonnet-4.5,countries-and-timezones,4,run4,,106,285,233,48,4,21,81.75438596491227,7.368421052631578,16.842105263157894,82.83,193,40,0,248.013,100232,25906,0.6892860000000001,0.002418547368421053,0.0029583090128755367,0.003251349056603774,0.01723215,0.027571440000000003,0.0083216950380297,15,25
anthropic_claude-sonnet-4.5,node-jsonfile,4,run4,,68,192,170,21,1,8,88.54166666666666,4.166666666666666,10.9375,75.29,68,42,60,488.813,53339,15698,0.39548700000000003,0.002059828125,0.002326394117647059,0.002441277777777778,0.009416357142857143,0.014124535714285716,0.005252848983928808,14,28
anthropic_claude-sonnet-4.5,pull-stream,4,run4,,351,925,789,133,3,32,85.29729729729729,3.4594594594594597,14.378378378378379,69.58,481,240,68,1256.12,188727,85626,1.850571,0.002000617297297297,0.002345463878326996,0.0024446116248348746,0.0077107124999999995,0.007808316455696202,0.026596306409887898,3,237
anthropic_claude-sonnet-4.5,spacl-core,4,run4,,134,354,243,107,4,20,68.64406779661016,5.649717514124294,30.225988700564972,92.21,213,18,0,937.821,155672,32739,0.9581009999999999,0.0027064999999999997,0.003942802469135802,0.0042964170403587435,0.05322783333333333,0.08710009090909089,0.010390424032100639,7,11
