model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
google_gemini-2.5-flash-thinking,Complex.js,1,run1,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,0.0012092883227176221,0.001362619138755981,0.0014310924623115579,0.0034106275449101798,0.004011090140845071,0.009485009159034139,25,142
google_gemini-2.5-flash-thinking,countries-and-timezones,1,run1,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,0.0008957634615384615,0.0009315939999999999,0.0009506061224489794,0.011644924999999999,0.018631879999999997,0.0010126021739130433,3,5
google_gemini-2.5-flash-thinking,node-jsonfile,1,run1,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,0.000838285294117647,0.000850797014925373,0.0008769753846153846,0.004750283333333333,0.0071254249999999995,0.0006944012669021805,4,8
google_gemini-2.5-flash-thinking,pull-stream,1,run1,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,0.0007711230113636365,0.0009295729452054796,0.0009424836805555557,0.0030498348314606746,0.0030498348314606746,0.0039044203107019572,0,89
google_gemini-2.5-flash-thinking,spacl-core,1,run1,,134,131,99,31,1,3,75.57251908396947,2.2900763358778624,23.66412213740458,92.55,87,7,0,377.891,150586,32970,0.1276008,0.0009740519083969465,0.0012888969696969695,0.001329175,0.018228685714285712,0.0319002,0.0013787228525121555,3,4
google_gemini-2.5-flash-thinking,zip-a-folder,1,run1,,49,49,45,3,1,1,91.83673469387756,2.0408163265306123,6.122448979591836,97.78,10,1,34,470.297,73738,12057,0.0522639,0.0010666102040816326,0.00116142,0.0011878159090909092,0.0522639,0.0522639,0.0005345050112497443,0,1
google_gemini-2.5-flash-thinking,Complex.js,2,run2,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,0.0012092883227176221,0.001362619138755981,0.0014310924623115579,0.0034106275449101798,0.004011090140845071,0.009485009159034139,25,142
google_gemini-2.5-flash-thinking,countries-and-timezones,2,run2,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,0.0008957634615384615,0.0009315939999999999,0.0009506061224489794,0.011644924999999999,0.018631879999999997,0.0010126021739130433,3,5
google_gemini-2.5-flash-thinking,node-jsonfile,2,run2,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,0.000838285294117647,0.000850797014925373,0.0008769753846153846,0.004750283333333333,0.0071254249999999995,0.0006944012669021805,4,8
google_gemini-2.5-flash-thinking,pull-stream,2,run2,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,0.0007711230113636365,0.0009295729452054796,0.0009424836805555557,0.0030498348314606746,0.0030498348314606746,0.0039044203107019572,0,89
google_gemini-2.5-flash-thinking,spacl-core,2,run2,,134,131,99,31,1,3,75.57251908396947,2.2900763358778624,23.66412213740458,92.55,87,7,0,377.891,150586,32970,0.1276008,0.0009740519083969465,0.0012888969696969695,0.001329175,0.018228685714285712,0.0319002,0.0013787228525121555,3,4
google_gemini-2.5-flash-thinking,zip-a-folder,2,run2,,49,49,45,3,1,1,91.83673469387756,2.0408163265306123,6.122448979591836,97.78,10,1,34,470.297,73738,12057,0.0522639,0.0010666102040816326,0.00116142,0.0011878159090909092,0.0522639,0.0522639,0.0005345050112497443,0,1
google_gemini-2.5-flash-thinking,Complex.js,3,run3,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,0.0012092883227176221,0.001362619138755981,0.0014310924623115579,0.0034106275449101798,0.004011090140845071,0.009485009159034139,25,142
google_gemini-2.5-flash-thinking,countries-and-timezones,3,run3,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,0.0008957634615384615,0.0009315939999999999,0.0009506061224489794,0.011644924999999999,0.018631879999999997,0.0010126021739130433,3,5
google_gemini-2.5-flash-thinking,node-jsonfile,3,run3,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,0.000838285294117647,0.000850797014925373,0.0008769753846153846,0.004750283333333333,0.0071254249999999995,0.0006944012669021805,4,8
google_gemini-2.5-flash-thinking,pull-stream,3,run3,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,0.0007711230113636365,0.0009295729452054796,0.0009424836805555557,0.0030498348314606746,0.0030498348314606746,0.0039044203107019572,0,89
google_gemini-2.5-flash-thinking,spacl-core,3,run3,,134,131,99,31,1,3,75.57251908396947,2.2900763358778624,23.66412213740458,92.55,87,7,0,377.891,150586,32970,0.1276008,0.0009740519083969465,0.0012888969696969695,0.001329175,0.018228685714285712,0.0319002,0.0013787228525121555,3,4
google_gemini-2.5-flash-thinking,zip-a-folder,3,run3,,49,49,45,3,1,1,91.83673469387756,2.0408163265306123,6.122448979591836,97.78,10,1,34,470.297,73738,12057,0.0522639,0.0010666102040816326,0.00116142,0.0011878159090909092,0.0522639,0.0522639,0.0005345050112497443,0,1
google_gemini-2.5-flash-thinking,Complex.js,4,run4,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,0.0012092883227176221,0.001362619138755981,0.0014310924623115579,0.0034106275449101798,0.004011090140845071,0.009485009159034139,25,142
google_gemini-2.5-flash-thinking,countries-and-timezones,4,run4,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,0.0008957634615384615,0.0009315939999999999,0.0009506061224489794,0.011644924999999999,0.018631879999999997,0.0010126021739130433,3,5
google_gemini-2.5-flash-thinking,node-jsonfile,4,run4,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,0.000838285294117647,0.000850797014925373,0.0008769753846153846,0.004750283333333333,0.0071254249999999995,0.0006944012669021805,4,8
google_gemini-2.5-flash-thinking,pull-stream,4,run4,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,0.0007711230113636365,0.0009295729452054796,0.0009424836805555557,0.0030498348314606746,0.0030498348314606746,0.0039044203107019572,0,89
google_gemini-2.5-flash-thinking,spacl-core,4,run4,,134,131,99,31,1,3,75.57251908396947,2.2900763358778624,23.66412213740458,92.55,87,7,0,377.891,150586,32970,0.1276008,0.0009740519083969465,0.0012888969696969695,0.001329175,0.018228685714285712,0.0319002,0.0013787228525121555,3,4
google_gemini-2.5-flash-thinking,zip-a-folder,4,run4,,49,49,45,3,1,1,91.83673469387756,2.0408163265306123,6.122448979591836,97.78,10,1,34,470.297,73738,12057,0.0522639,0.0010666102040816326,0.00116142,0.0011878159090909092,0.0522639,0.0522639,0.0005345050112497443,0,1
google_gemini-2.5-flash-thinking,Complex.js,5,run5,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,0.0012092883227176221,0.001362619138755981,0.0014310924623115579,0.0034106275449101798,0.004011090140845071,0.009485009159034139,25,142
google_gemini-2.5-flash-thinking,countries-and-timezones,5,run5,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,0.0008957634615384615,0.0009315939999999999,0.0009506061224489794,0.011644924999999999,0.018631879999999997,0.0010126021739130433,3,5
