model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
google_gemini-2.5-flash,Complex.js,1,run1,,490,1357,1138,202,17,84,83.86145910095799,6.190125276344879,14.885777450257923,60.63,689,448,1,360.497,894841,100839,0.5205498,0.0003836033898305084,0.00045742513181019326,0.0004938802656546489,0.0011619415178571427,0.0013347430769230768,0.008585680356259276,58,390
google_gemini-2.5-flash,countries-and-timezones,1,run1,,106,296,249,46,1,18,84.12162162162163,6.081081081081082,15.54054054054054,89.96,224,25,0,263.477,93198,22370,0.0838844,0.00028339324324324326,0.000336885140562249,0.0003631359307359307,0.0033553759999999998,0.005592293333333333,0.0009324633170297911,10,15
google_gemini-2.5-flash,node-jsonfile,1,run1,,68,199,174,25,0,5,87.43718592964824,2.512562814070352,12.562814070351758,80.46,62,34,78,553.354,50578,14210,0.0506984,0.00025476582914572864,0.00029137011494252875,0.0002999905325443787,0.0014911294117647058,0.0016899466666666666,0.0006301068854088988,4,30
google_gemini-2.5-flash,pull-stream,1,run1,,351,1028,820,204,4,20,79.76653696498055,1.9455252918287937,19.844357976653697,67.32,480,268,72,1330.401,185351,72581,0.2370578,0.00023060097276264593,0.0002890948780487805,0.00029632225,0.0008845440298507464,0.0008945577358490566,0.003521357694592989,3,265
google_gemini-2.5-flash,spacl-core,1,run1,,134,378,271,105,2,18,71.6931216931217,4.761904761904762,27.77777777777778,91.05,234,23,0,1089.747,150586,29082,0.11788080000000001,0.0003118539682539683,0.00043498450184501847,0.0004659320158102767,0.005125252173913044,0.009067753846153846,0.001294682042833608,10,13
google_gemini-2.5-flash,zip-a-folder,1,run1,,49,140,119,21,0,7,85,5,15,98.32,27,2,90,1199.866,73738,10893,0.0493539,0.0003525278571428571,0.00041473865546218485,0.0004406598214285714,0.02467695,0.02467695,0.0005019721318144833,0,2
google_gemini-2.5-flash,Complex.js,2,run2,,490,1357,1138,202,17,84,83.86145910095799,6.190125276344879,14.885777450257923,60.63,689,448,1,360.497,894841,100839,0.5205498,0.0003836033898305084,0.00045742513181019326,0.0004938802656546489,0.0011619415178571427,0.0013347430769230768,0.008585680356259276,58,390
google_gemini-2.5-flash,countries-and-timezones,2,run2,,106,296,249,46,1,18,84.12162162162163,6.081081081081082,15.54054054054054,89.96,224,25,0,263.477,93198,22370,0.0838844,0.00028339324324324326,0.000336885140562249,0.0003631359307359307,0.0033553759999999998,0.005592293333333333,0.0009324633170297911,10,15
google_gemini-2.5-flash,node-jsonfile,2,run2,,68,199,174,25,0,5,87.43718592964824,2.512562814070352,12.562814070351758,80.46,62,34,78,553.354,50578,14210,0.0506984,0.00025476582914572864,0.00029137011494252875,0.0002999905325443787,0.0014911294117647058,0.0016899466666666666,0.0006301068854088988,4,30
google_gemini-2.5-flash,pull-stream,2,run2,,351,1028,820,204,4,20,79.76653696498055,1.9455252918287937,19.844357976653697,67.32,480,268,72,1330.401,185351,72581,0.2370578,0.00023060097276264593,0.0002890948780487805,0.00029632225,0.0008845440298507464,0.0008945577358490566,0.003521357694592989,3,265
google_gemini-2.5-flash,spacl-core,2,run2,,134,378,271,105,2,18,71.6931216931217,4.761904761904762,27.77777777777778,91.05,234,23,0,1089.747,150586,29082,0.11788080000000001,0.0003118539682539683,0.00043498450184501847,0.0004659320158102767,0.005125252173913044,0.009067753846153846,0.001294682042833608,10,13
google_gemini-2.5-flash,zip-a-folder,2,run2,,49,140,119,21,0,7,85,5,15,98.32,27,2,90,1199.866,73738,10893,0.0493539,0.0003525278571428571,0.00041473865546218485,0.0004406598214285714,0.02467695,0.02467695,0.0005019721318144833,0,2
google_gemini-2.5-flash,Complex.js,3,run3,,490,1357,1138,202,17,84,83.86145910095799,6.190125276344879,14.885777450257923,60.63,689,448,1,360.497,894841,100839,0.5205498,0.0003836033898305084,0.00045742513181019326,0.0004938802656546489,0.0011619415178571427,0.0013347430769230768,0.008585680356259276,58,390
google_gemini-2.5-flash,countries-and-timezones,3,run3,,106,296,249,46,1,18,84.12162162162163,6.081081081081082,15.54054054054054,89.96,224,25,0,263.477,93198,22370,0.0838844,0.00028339324324324326,0.000336885140562249,0.0003631359307359307,0.0033553759999999998,0.005592293333333333,0.0009324633170297911,10,15
google_gemini-2.5-flash,node-jsonfile,3,run3,,68,199,174,25,0,5,87.43718592964824,2.512562814070352,12.562814070351758,80.46,62,34,78,553.354,50578,14210,0.0506984,0.00025476582914572864,0.00029137011494252875,0.0002999905325443787,0.0014911294117647058,0.0016899466666666666,0.0006301068854088988,4,30
google_gemini-2.5-flash,pull-stream,3,run3,,351,1028,820,204,4,20,79.76653696498055,1.9455252918287937,19.844357976653697,67.32,480,268,72,1330.401,185351,72581,0.2370578,0.00023060097276264593,0.0002890948780487805,0.00029632225,0.0008845440298507464,0.0008945577358490566,0.003521357694592989,3,265
google_gemini-2.5-flash,spacl-core,3,run3,,134,378,271,105,2,18,71.6931216931217,4.761904761904762,27.77777777777778,91.05,234,23,0,1089.747,150586,29082,0.11788080000000001,0.0003118539682539683,0.00043498450184501847,0.0004659320158102767,0.005125252173913044,0.009067753846153846,0.001294682042833608,10,13
google_gemini-2.5-flash,zip-a-folder,3,run3,,49,140,119,21,0,7,85,5,15,98.32,27,2,90,1199.866,73738,10893,0.0493539,0.0003525278571428571,0.00041473865546218485,0.0004406598214285714,0.02467695,0.02467695,0.0005019721318144833,0,2
google_gemini-2.5-flash,Complex.js,4,run4,,490,1357,1138,202,17,84,83.86145910095799,6.190125276344879,14.885777450257923,60.63,689,448,1,360.497,894841,100839,0.5205498,0.0003836033898305084,0.00045742513181019326,0.0004938802656546489,0.0011619415178571427,0.0013347430769230768,0.008585680356259276,58,390
