model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
meta-llama_llama-3.3-70b-instruct,Complex.js,1,run1,,490,1388,1145,242,1,87,82.492795389049,6.268011527377522,17.435158501440924,60.35,690,454,1,360.13,788702,99567,0.11073164,0.0000797778386167147,0.00009670885589519651,0.0001046612854442344,0.0002439022907488987,0.00026746772946859904,0.0018348241922120962,40,414
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,run1,,106,311,275,36,0,7,88.42443729903538,2.2508038585209005,11.57556270096463,86.91,239,36,0,281.805,82968,21755,0.0152584,0.000049062379421221864,0.00005548509090909091,0.00005693432835820896,0.00042384444444444445,0.0008476888888888889,0.00017556552755724312,18,18
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,run1,,68,200,173,27,0,4,86.5,2,13.5,71.1,51,50,72,489.559,46466,13710,0.0090338,0.000045169,0.00005221849710982659,0.000053454437869822486,0.000180676,0.00024415675675675674,0.00012705766526019692,13,37
meta-llama_llama-3.3-70b-instruct,pull-stream,1,run1,,351,1036,803,215,18,17,77.50965250965251,1.6409266409266408,20.752895752895753,66.75,487,267,49,1168.027,173055,68576,0.03924982,0.000037885926640926636,0.000048878978829389783,0.00004993615776081424,0.00014700307116104867,0.00015213108527131782,0.0005880122846441947,9,258
meta-llama_llama-3.3-70b-instruct,spacl-core,1,run1,,134,386,260,124,2,15,67.35751295336787,3.8860103626943006,32.12435233160622,85.66,208,35,1,961.887,137530,26522,0.022240040000000003,0.00005761668393782384,0.0000855386153846154,0.00009077567346938777,0.0006354297142857143,0.001059049523809524,0.000259631566658884,14,21
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,run1,,49,146,110,36,0,1,75.34246575342466,0.684931506849315,24.65753424657534,95.45,80,5,25,408.759,64946,10067,0.00971604,0.00006654821917808219,0.00008832763636363637,0.00008913798165137615,0.001943208,0.001943208,0.00010179193294918805,0,5
meta-llama_llama-3.3-70b-instruct,Complex.js,2,run2,,490,1388,1145,242,1,87,82.492795389049,6.268011527377522,17.435158501440924,60.35,690,454,1,360.13,788702,99567,0.11073164,0.0000797778386167147,0.00009670885589519651,0.0001046612854442344,0.0002439022907488987,0.00026746772946859904,0.0018348241922120962,40,414
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,2,run2,,106,311,275,36,0,7,88.42443729903538,2.2508038585209005,11.57556270096463,86.91,239,36,0,281.805,82968,21755,0.0152584,0.000049062379421221864,0.00005548509090909091,0.00005693432835820896,0.00042384444444444445,0.0008476888888888889,0.00017556552755724312,18,18
meta-llama_llama-3.3-70b-instruct,node-jsonfile,2,run2,,68,200,173,27,0,4,86.5,2,13.5,71.1,51,50,72,489.559,46466,13710,0.0090338,0.000045169,0.00005221849710982659,0.000053454437869822486,0.000180676,0.00024415675675675674,0.00012705766526019692,13,37
meta-llama_llama-3.3-70b-instruct,pull-stream,2,run2,,351,1036,803,215,18,17,77.50965250965251,1.6409266409266408,20.752895752895753,66.75,487,267,49,1168.027,173055,68576,0.03924982,0.000037885926640926636,0.000048878978829389783,0.00004993615776081424,0.00014700307116104867,0.00015213108527131782,0.0005880122846441947,9,258
meta-llama_llama-3.3-70b-instruct,spacl-core,2,run2,,134,386,260,124,2,15,67.35751295336787,3.8860103626943006,32.12435233160622,85.66,208,35,1,961.887,137530,26522,0.022240040000000003,0.00005761668393782384,0.0000855386153846154,0.00009077567346938777,0.0006354297142857143,0.001059049523809524,0.000259631566658884,14,21
meta-llama_llama-3.3-70b-instruct,zip-a-folder,2,run2,,49,146,110,36,0,1,75.34246575342466,0.684931506849315,24.65753424657534,95.45,80,5,25,408.759,64946,10067,0.00971604,0.00006654821917808219,0.00008832763636363637,0.00008913798165137615,0.001943208,0.001943208,0.00010179193294918805,0,5
meta-llama_llama-3.3-70b-instruct,Complex.js,3,run3,,490,1388,1145,242,1,87,82.492795389049,6.268011527377522,17.435158501440924,60.35,690,454,1,360.13,788702,99567,0.11073164,0.0000797778386167147,0.00009670885589519651,0.0001046612854442344,0.0002439022907488987,0.00026746772946859904,0.0018348241922120962,40,414
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,3,run3,,106,311,275,36,0,7,88.42443729903538,2.2508038585209005,11.57556270096463,86.91,239,36,0,281.805,82968,21755,0.0152584,0.000049062379421221864,0.00005548509090909091,0.00005693432835820896,0.00042384444444444445,0.0008476888888888889,0.00017556552755724312,18,18
meta-llama_llama-3.3-70b-instruct,node-jsonfile,3,run3,,68,200,173,27,0,4,86.5,2,13.5,71.1,51,50,72,489.559,46466,13710,0.0090338,0.000045169,0.00005221849710982659,0.000053454437869822486,0.000180676,0.00024415675675675674,0.00012705766526019692,13,37
meta-llama_llama-3.3-70b-instruct,pull-stream,3,run3,,351,1036,803,215,18,17,77.50965250965251,1.6409266409266408,20.752895752895753,66.75,487,267,49,1168.027,173055,68576,0.03924982,0.000037885926640926636,0.000048878978829389783,0.00004993615776081424,0.00014700307116104867,0.00015213108527131782,0.0005880122846441947,9,258
meta-llama_llama-3.3-70b-instruct,spacl-core,3,run3,,134,386,260,124,2,15,67.35751295336787,3.8860103626943006,32.12435233160622,85.66,208,35,1,961.887,137530,26522,0.022240040000000003,0.00005761668393782384,0.0000855386153846154,0.00009077567346938777,0.0006354297142857143,0.001059049523809524,0.000259631566658884,14,21
meta-llama_llama-3.3-70b-instruct,zip-a-folder,3,run3,,49,146,110,36,0,1,75.34246575342466,0.684931506849315,24.65753424657534,95.45,80,5,25,408.759,64946,10067,0.00971604,0.00006654821917808219,0.00008832763636363637,0.00008913798165137615,0.001943208,0.001943208,0.00010179193294918805,0,5
meta-llama_llama-3.3-70b-instruct,Complex.js,4,run4,,490,1388,1145,242,1,87,82.492795389049,6.268011527377522,17.435158501440924,60.35,690,454,1,360.13,788702,99567,0.11073164,0.0000797778386167147,0.00009670885589519651,0.0001046612854442344,0.0002439022907488987,0.00026746772946859904,0.0018348241922120962,40,414
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,4,run4,,106,311,275,36,0,7,88.42443729903538,2.2508038585209005,11.57556270096463,86.91,239,36,0,281.805,82968,21755,0.0152584,0.000049062379421221864,0.00005548509090909091,0.00005693432835820896,0.00042384444444444445,0.0008476888888888889,0.00017556552755724312,18,18
meta-llama_llama-3.3-70b-instruct,node-jsonfile,4,run4,,68,200,173,27,0,4,86.5,2,13.5,71.1,51,50,72,489.559,46466,13710,0.0090338,0.000045169,0.00005221849710982659,0.000053454437869822486,0.000180676,0.00024415675675675674,0.00012705766526019692,13,37
meta-llama_llama-3.3-70b-instruct,pull-stream,4,run4,,351,1036,803,215,18,17,77.50965250965251,1.6409266409266408,20.752895752895753,66.75,487,267,49,1168.027,173055,68576,0.03924982,0.000037885926640926636,0.000048878978829389783,0.00004993615776081424,0.00014700307116104867,0.00015213108527131782,0.0005880122846441947,9,258
meta-llama_llama-3.3-70b-instruct,spacl-core,4,run4,,134,386,260,124,2,15,67.35751295336787,3.8860103626943006,32.12435233160622,85.66,208,35,1,961.887,137530,26522,0.022240040000000003,0.00005761668393782384,0.0000855386153846154,0.00009077567346938777,0.0006354297142857143,0.001059049523809524,0.000259631566658884,14,21
meta-llama_llama-3.3-70b-instruct,zip-a-folder,4,run4,,49,146,110,36,0,1,75.34246575342466,0.684931506849315,24.65753424657534,95.45,80,5,25,408.759,64946,10067,0.00971604,0.00006654821917808219,0.00008832763636363637,0.00008913798165137615,0.001943208,0.001943208,0.00010179193294918805,0,5
