model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
meta-llama_llama-4-maverick,Complex.js,1,run1,,490,1078,752,320,6,65,69.75881261595546,6.029684601113173,29.684601113172544,58.64,441,311,0,219.591,781479,122454,0.19069425,0.0001768963358070501,0.00025358277925531915,0.00027757532751091705,0.0006131647909967846,0.0006598416955017301,0.0032519483287858117,22,289
meta-llama_llama-4-maverick,countries-and-timezones,1,run1,,106,226,166,59,1,7,73.45132743362832,3.0973451327433628,26.10619469026549,86.75,144,22,0,176.492,81347,26598,0.02816085,0.00012460553097345134,0.00016964367469879518,0.0001771122641509434,0.0012800386363636363,0.0028160850000000003,0.00032462074927953893,12,10
meta-llama_llama-4-maverick,node-jsonfile,1,run1,,68,124,94,30,0,5,75.80645161290323,4.032258064516129,24.193548387096776,81.91,43,17,34,272.551,46566,17002,0.0171861,0.00013859758064516128,0.00018283085106382977,0.00019310224719101124,0.0010109470588235293,0.001432175,0.0002098168721767794,5,12
meta-llama_llama-4-maverick,pull-stream,1,run1,,351,675,465,199,11,19,68.88888888888889,2.814814814814815,29.48148148148148,69.03,280,144,41,753.94,169371,87832,0.07810484999999999,0.00011571088888888887,0.00016796741935483868,0.00017512298206278024,0.0005423947916666665,0.0005539351063829787,0.0011314624076488482,3,141
meta-llama_llama-4-maverick,spacl-core,1,run1,,134,251,159,84,8,8,63.34661354581673,3.187250996015936,33.46613545816733,88.16,134,18,0,509.318,136793,33511,0.040625549999999996,0.000161854780876494,0.00025550660377358486,0.0002690433774834437,0.0022569749999999996,0.0033854625,0.00046081612976406534,6,12
meta-llama_llama-4-maverick,zip-a-folder,1,run1,,49,100,70,28,2,3,70,3,28.000000000000004,97.14,12,2,56,738.199,65478,12165,0.0171207,0.000171207,0.00024458142857142857,0.0002555328358208955,0.00856035,0.00856035,0.00017624768375540457,0,2
meta-llama_llama-4-maverick,Complex.js,2,run2,,490,1078,752,320,6,65,69.75881261595546,6.029684601113173,29.684601113172544,58.64,441,311,0,219.591,781479,122454,0.19069425,0.0001768963358070501,0.00025358277925531915,0.00027757532751091705,0.0006131647909967846,0.0006598416955017301,0.0032519483287858117,22,289
meta-llama_llama-4-maverick,countries-and-timezones,2,run2,,106,226,166,59,1,7,73.45132743362832,3.0973451327433628,26.10619469026549,86.75,144,22,0,176.492,81347,26598,0.02816085,0.00012460553097345134,0.00016964367469879518,0.0001771122641509434,0.0012800386363636363,0.0028160850000000003,0.00032462074927953893,12,10
meta-llama_llama-4-maverick,node-jsonfile,2,run2,,68,124,94,30,0,5,75.80645161290323,4.032258064516129,24.193548387096776,81.91,43,17,34,272.551,46566,17002,0.0171861,0.00013859758064516128,0.00018283085106382977,0.00019310224719101124,0.0010109470588235293,0.001432175,0.0002098168721767794,5,12
meta-llama_llama-4-maverick,pull-stream,2,run2,,351,675,465,199,11,19,68.88888888888889,2.814814814814815,29.48148148148148,69.03,280,144,41,753.94,169371,87832,0.07810484999999999,0.00011571088888888887,0.00016796741935483868,0.00017512298206278024,0.0005423947916666665,0.0005539351063829787,0.0011314624076488482,3,141
meta-llama_llama-4-maverick,spacl-core,2,run2,,134,251,159,84,8,8,63.34661354581673,3.187250996015936,33.46613545816733,88.16,134,18,0,509.318,136793,33511,0.040625549999999996,0.000161854780876494,0.00025550660377358486,0.0002690433774834437,0.0022569749999999996,0.0033854625,0.00046081612976406534,6,12
meta-llama_llama-4-maverick,zip-a-folder,2,run2,,49,100,70,28,2,3,70,3,28.000000000000004,97.14,12,2,56,738.199,65478,12165,0.0171207,0.000171207,0.00024458142857142857,0.0002555328358208955,0.00856035,0.00856035,0.00017624768375540457,0,2
meta-llama_llama-4-maverick,Complex.js,3,run3,,490,1078,752,320,6,65,69.75881261595546,6.029684601113173,29.684601113172544,58.64,441,311,0,219.591,781479,122454,0.19069425,0.0001768963358070501,0.00025358277925531915,0.00027757532751091705,0.0006131647909967846,0.0006598416955017301,0.0032519483287858117,22,289
meta-llama_llama-4-maverick,countries-and-timezones,3,run3,,106,226,166,59,1,7,73.45132743362832,3.0973451327433628,26.10619469026549,86.75,144,22,0,176.492,81347,26598,0.02816085,0.00012460553097345134,0.00016964367469879518,0.0001771122641509434,0.0012800386363636363,0.0028160850000000003,0.00032462074927953893,12,10
meta-llama_llama-4-maverick,node-jsonfile,3,run3,,68,124,94,30,0,5,75.80645161290323,4.032258064516129,24.193548387096776,81.91,43,17,34,272.551,46566,17002,0.0171861,0.00013859758064516128,0.00018283085106382977,0.00019310224719101124,0.0010109470588235293,0.001432175,0.0002098168721767794,5,12
meta-llama_llama-4-maverick,pull-stream,3,run3,,351,675,465,199,11,19,68.88888888888889,2.814814814814815,29.48148148148148,69.03,280,144,41,753.94,169371,87832,0.07810484999999999,0.00011571088888888887,0.00016796741935483868,0.00017512298206278024,0.0005423947916666665,0.0005539351063829787,0.0011314624076488482,3,141
meta-llama_llama-4-maverick,spacl-core,3,run3,,134,251,159,84,8,8,63.34661354581673,3.187250996015936,33.46613545816733,88.16,134,18,0,509.318,136793,33511,0.040625549999999996,0.000161854780876494,0.00025550660377358486,0.0002690433774834437,0.0022569749999999996,0.0033854625,0.00046081612976406534,6,12
meta-llama_llama-4-maverick,zip-a-folder,3,run3,,49,100,70,28,2,3,70,3,28.000000000000004,97.14,12,2,56,738.199,65478,12165,0.0171207,0.000171207,0.00024458142857142857,0.0002555328358208955,0.00856035,0.00856035,0.00017624768375540457,0,2
meta-llama_llama-4-maverick,Complex.js,4,run4,,490,1078,752,320,6,65,69.75881261595546,6.029684601113173,29.684601113172544,58.64,441,311,0,219.591,781479,122454,0.19069425,0.0001768963358070501,0.00025358277925531915,0.00027757532751091705,0.0006131647909967846,0.0006598416955017301,0.0032519483287858117,22,289
meta-llama_llama-4-maverick,countries-and-timezones,4,run4,,106,226,166,59,1,7,73.45132743362832,3.0973451327433628,26.10619469026549,86.75,144,22,0,176.492,81347,26598,0.02816085,0.00012460553097345134,0.00016964367469879518,0.0001771122641509434,0.0012800386363636363,0.0028160850000000003,0.00032462074927953893,12,10
meta-llama_llama-4-maverick,node-jsonfile,4,run4,,68,124,94,30,0,5,75.80645161290323,4.032258064516129,24.193548387096776,81.91,43,17,34,272.551,46566,17002,0.0171861,0.00013859758064516128,0.00018283085106382977,0.00019310224719101124,0.0010109470588235293,0.001432175,0.0002098168721767794,5,12
meta-llama_llama-4-maverick,pull-stream,4,run4,,351,675,465,199,11,19,68.88888888888889,2.814814814814815,29.48148148148148,69.03,280,144,41,753.94,169371,87832,0.07810484999999999,0.00011571088888888887,0.00016796741935483868,0.00017512298206278024,0.0005423947916666665,0.0005539351063829787,0.0011314624076488482,3,141
meta-llama_llama-4-maverick,spacl-core,4,run4,,134,251,159,84,8,8,63.34661354581673,3.187250996015936,33.46613545816733,88.16,134,18,0,509.318,136793,33511,0.040625549999999996,0.000161854780876494,0.00025550660377358486,0.0002690433774834437,0.0022569749999999996,0.0033854625,0.00046081612976406534,6,12
meta-llama_llama-4-maverick,zip-a-folder,4,run4,,49,100,70,28,2,3,70,3,28.000000000000004,97.14,12,2,56,738.199,65478,12165,0.0171207,0.000171207,0.00024458142857142857,0.0002555328358208955,0.00856035,0.00856035,0.00017624768375540457,0,2
meta-llama_llama-4-maverick,Complex.js,5,run5,,490,1078,752,320,6,65,69.75881261595546,6.029684601113173,29.684601113172544,58.64,441,311,0,219.591,781479,122454,0.19069425,0.0001768963358070501,0.00025358277925531915,0.00027757532751091705,0.0006131647909967846,0.0006598416955017301,0.0032519483287858117,22,289
meta-llama_llama-4-maverick,countries-and-timezones,5,run5,,106,226,166,59,1,7,73.45132743362832,3.0973451327433628,26.10619469026549,86.75,144,22,0,176.492,81347,26598,0.02816085,0.00012460553097345134,0.00016964367469879518,0.0001771122641509434,0.0012800386363636363,0.0028160850000000003,0.00032462074927953893,12,10
meta-llama_llama-4-maverick,node-jsonfile,5,run5,,68,124,94,30,0,5,75.80645161290323,4.032258064516129,24.193548387096776,81.91,43,17,34,272.551,46566,17002,0.0171861,0.00013859758064516128,0.00018283085106382977,0.00019310224719101124,0.0010109470588235293,0.001432175,0.0002098168721767794,5,12
meta-llama_llama-4-maverick,pull-stream,5,run5,,351,675,465,199,11,19,68.88888888888889,2.814814814814815,29.48148148148148,69.03,280,144,41,753.94,169371,87832,0.07810484999999999,0.00011571088888888887,0.00016796741935483868,0.00017512298206278024,0.0005423947916666665,0.0005539351063829787,0.0011314624076488482,3,141
meta-llama_llama-4-maverick,spacl-core,5,run5,,134,251,159,84,8,8,63.34661354581673,3.187250996015936,33.46613545816733,88.16,134,18,0,509.318,136793,33511,0.040625549999999996,0.000161854780876494,0.00025550660377358486,0.0002690433774834437,0.0022569749999999996,0.0033854625,0.00046081612976406534,6,12
meta-llama_llama-4-maverick,zip-a-folder,5,run5,,49,100,70,28,2,3,70,3,28.000000000000004,97.14,12,2,56,738.199,65478,12165,0.0171207,0.000171207,0.00024458142857142857,0.0002555328358208955,0.00856035,0.00856035,0.00017624768375540457,0,2
