model,nObservations,totalCostUsd,portfolioCostPerSurvivor,portfolioCostPerValid,portfolioCostPerNonEquiv,medianCostPerSurvivor,medianCostPerValid,medianCostPerNonEquiv,medianMutationScore,meanDuplicateRate,meanInvalidRate,efficiencyRank,paretoEfficient
google_gemini-3.1-flash-lite,6,0,0,0,0,0,0,0,81.06,3.6493206958691826,19.829658922413017,1,1
openai_gpt-4o,6,0,0,0,0,0,0,0,80.575,3.2796126335582385,19.832029839234337,2,
meta-llama_llama-3.1-8b-instruct,6,0.03518493,0.00004623512483574245,0.000013449896788990826,0.00004948654008438819,0.00005067106982686692,0.000013149312662169175,0.00006360840710723192,76.78999999999999,2.1115786737822186,25.370528624525488,3,
meta-llama_llama-3.3-70b-instruct,6,0.20556483999999997,0.0002497750182260024,0.00007421113357400721,0.0002819819478737997,0.0002942680456621005,0.00007032574061510629,0.00043538337164750955,79.32499999999999,2.9140240361352476,19.746165136745848,4,
openai_gpt-4o-mini,6,0.3368958,0.00046468386206896555,0.00013263614173228348,0.0005143447328244275,0.0006645348387096775,0.00013027841679216868,0.0018257235,83.465,3.4113434444628195,26.898094901852048,5,1
deepseek_deepseek-chat-v3.1,6,0.48052283,0.000529793638368247,0.00017454516164184527,0.0006098005456852792,0.000709266634920635,0.00016397921455938694,0.0012404119230769231,81.435,4.426326888016632,16.570922227101402,6,
qwen_qwen-2.5-coder-32b-instruct,6,1.0893099400000001,0.0015235104055944058,0.00039960012472487166,0.0016529741122913507,0.0028006249248120297,0.0003754669247126957,0.004190002954545455,88.53999999999999,3.982269333029313,17.575008248401584,7,1
google_gemini-3.5-flash,6,4.562028,0.0047225962732919255,0.0016125938494167549,0.005430985714285714,0.0059669066666666664,0.0015758974672939357,0.008961483333333332,76.52,3.625121794180448,17.749059375527604,8,
anthropic_claude-haiku-4.5,6,3.000455,0.005059789207419899,0.0016980503678551218,0.005759030710172745,0.006364853166553978,0.0015917211452095808,0.010155173047667342,73.64500000000001,3.0480089757805797,32.1574361159038,9,
anthropic_claude-sonnet-4.5,6,8.931090000000001,0.012632376237623763,0.0037972321428571434,0.014335617977528092,0.014688225955734407,0.0033438802294197033,0.020185063799283153,78.745,5.129390325222725,18.821414402912584,10,
