model_a,model_b,metric,U,p_raw,delta,magnitude,p_holm
anthropic_claude-haiku-4.5,deepseek_deepseek-chat-v3.1,meanJaccardOverlap,36.0,0.0021645021645021645,1.0,large,0.045454545454545456
anthropic_claude-haiku-4.5,google_gemini-3.1-flash-lite,meanJaccardOverlap,36.0,0.0021645021645021645,1.0,large,0.045454545454545456
anthropic_claude-haiku-4.5,meta-llama_llama-3.1-8b-instruct,meanJaccardOverlap,36.0,0.0021645021645021645,1.0,large,0.045454545454545456
anthropic_claude-haiku-4.5,meta-llama_llama-3.3-70b-instruct,meanJaccardOverlap,36.0,0.0021645021645021645,1.0,large,0.045454545454545456
anthropic_claude-haiku-4.5,openai_gpt-4o-mini,meanJaccardOverlap,36.0,0.0021645021645021645,1.0,large,0.045454545454545456
anthropic_claude-haiku-4.5,qwen_qwen-2.5-coder-32b-instruct,meanJaccardOverlap,36.0,0.0021645021645021645,1.0,large,0.045454545454545456
deepseek_deepseek-chat-v3.1,google_gemini-3.1-flash-lite,meanJaccardOverlap,0.0,0.0021645021645021645,-1.0,large,0.045454545454545456
deepseek_deepseek-chat-v3.1,meta-llama_llama-3.1-8b-instruct,meanJaccardOverlap,24.0,0.3939393939393939,0.3333333333333333,medium,1.0
deepseek_deepseek-chat-v3.1,meta-llama_llama-3.3-70b-instruct,meanJaccardOverlap,22.0,0.5887445887445888,0.2222222222222222,small,1.0
deepseek_deepseek-chat-v3.1,openai_gpt-4o-mini,meanJaccardOverlap,11.0,0.30952380952380953,-0.3888888888888889,medium,1.0
deepseek_deepseek-chat-v3.1,qwen_qwen-2.5-coder-32b-instruct,meanJaccardOverlap,0.0,0.0021645021645021645,-1.0,large,0.045454545454545456
google_gemini-3.1-flash-lite,meta-llama_llama-3.1-8b-instruct,meanJaccardOverlap,36.0,0.0021645021645021645,1.0,large,0.045454545454545456
google_gemini-3.1-flash-lite,meta-llama_llama-3.3-70b-instruct,meanJaccardOverlap,36.0,0.0021645021645021645,1.0,large,0.045454545454545456
google_gemini-3.1-flash-lite,openai_gpt-4o-mini,meanJaccardOverlap,36.0,0.0021645021645021645,1.0,large,0.045454545454545456
google_gemini-3.1-flash-lite,qwen_qwen-2.5-coder-32b-instruct,meanJaccardOverlap,0.0,0.0021645021645021645,-1.0,large,0.045454545454545456
meta-llama_llama-3.1-8b-instruct,meta-llama_llama-3.3-70b-instruct,meanJaccardOverlap,20.0,0.8181818181818182,0.1111111111111111,negligible,1.0
meta-llama_llama-3.1-8b-instruct,openai_gpt-4o-mini,meanJaccardOverlap,3.0,0.015151515151515152,-0.8333333333333334,large,0.09090909090909091
meta-llama_llama-3.1-8b-instruct,qwen_qwen-2.5-coder-32b-instruct,meanJaccardOverlap,0.0,0.0021645021645021645,-1.0,large,0.045454545454545456
meta-llama_llama-3.3-70b-instruct,openai_gpt-4o-mini,meanJaccardOverlap,5.0,0.04112554112554113,-0.7222222222222222,large,0.20562770562770563
meta-llama_llama-3.3-70b-instruct,qwen_qwen-2.5-coder-32b-instruct,meanJaccardOverlap,0.0,0.0021645021645021645,-1.0,large,0.045454545454545456
openai_gpt-4o-mini,qwen_qwen-2.5-coder-32b-instruct,meanJaccardOverlap,0.0,0.0021645021645021645,-1.0,large,0.045454545454545456
