model,package,nRuns,meanJaccardOverlap,cvMutationScore,stdMutationScore,cvSurvivors,stdSurvivors,cvAbsLevenshtein,mutationScoreRange,survivorRange
anthropic_claude-haiku-4.5,Complex.js,5,0.99558571496899,0.15146597425078231,0.08399999999999885,0,0,0,0.22999999999999687,0
anthropic_claude-haiku-4.5,countries-and-timezones,5,0.9952380952380953,0.301810865191144,0.23999999999999774,1.1695906432748537,0.4,0,0.5999999999999943,1
anthropic_claude-haiku-4.5,node-jsonfile,5,0.9912408759124087,0.5394227925064948,0.36252448193191483,1.0984258936247433,0.4898979485566356,0,0.7400000000000091,1
anthropic_claude-haiku-4.5,pull-stream,5,0.9912004120281885,0.1942777536836467,0.12204917041914053,0.4441654628565144,1.019803902718557,0,0.37000000000000455,3
anthropic_claude-haiku-4.5,spacl-core,5,0.9889806326270415,0.3098212904414095,0.2706288972005712,2.2892427502646524,0.4898979485566356,0,0.5899999999999892,1
anthropic_claude-haiku-4.5,zip-a-folder,5,1,0,0,0,0,0,0,0
deepseek_deepseek-chat-v3.1,Complex.js,5,0.5788672297041908,1.5081352517719258,0.8272121855969012,1.4279410991936592,7.211102550927978,0,2.510000000000005,19
deepseek_deepseek-chat-v3.1,countries-and-timezones,5,0.4799285995892212,1.290740982350366,1.0809181282594904,5.203518096102823,2.2271057451320084,5.962847939999439,2.739999999999995,6
deepseek_deepseek-chat-v3.1,node-jsonfile,5,0.5862525561017013,1.0601771449694142,0.8372430949252458,4.3478260869565215,1.5999999999999999,6.451612903225806,2.4000000000000057,4
deepseek_deepseek-chat-v3.1,pull-stream,5,0.5881797573239638,1.4075818268505644,0.9065671514013747,2.7464801684607276,8.07465169527454,8.333333333333332,2.4100000000000037,24
deepseek_deepseek-chat-v3.1,spacl-core,5,0.481576408690991,2.318304609598743,1.9427856289359384,11.641974559573317,4.586937976471886,8.333333333333332,5.680000000000007,14
deepseek_deepseek-chat-v3.1,zip-a-folder,5,0.5397084570312803,1.0196364831379887,0.9609869926278918,17.14985851425088,1.16619037896906,5.555555555555555,2.549999999999997,3
google_gemini-3.1-flash-lite,Complex.js,5,0.824233279299818,0.5095183731175796,0.291108227296998,0.4462098228147992,2.1908902300206643,0,0.8700000000000045,6
google_gemini-3.1-flash-lite,countries-and-timezones,5,0.8175244561496422,0.5307603088929514,0.4640861988898189,3.1403714651066386,0.9797958971132713,0,1.0600000000000023,2
