model,nRuns,trialsObserved,count,totalDistinct
anthropic_claude-haiku-4.5,5,1,11,1781
anthropic_claude-haiku-4.5,5,2,4,1781
anthropic_claude-haiku-4.5,5,3,4,1781
anthropic_claude-haiku-4.5,5,4,7,1781
anthropic_claude-haiku-4.5,5,5,1755,1781
deepseek_deepseek-chat-v3.1,5,1,1474,4704
deepseek_deepseek-chat-v3.1,5,2,746,4704
deepseek_deepseek-chat-v3.1,5,3,530,4704
deepseek_deepseek-chat-v3.1,5,4,506,4704
deepseek_deepseek-chat-v3.1,5,5,1448,4704
google_gemini-3.1-flash-lite,5,1,191,3276
google_gemini-3.1-flash-lite,5,2,344,3276
google_gemini-3.1-flash-lite,5,3,332,3276
google_gemini-3.1-flash-lite,5,4,187,3276
google_gemini-3.1-flash-lite,5,5,2222,3276
meta-llama_llama-3.1-8b-instruct,5,1,1750,4821
meta-llama_llama-3.1-8b-instruct,5,2,683,4821
meta-llama_llama-3.1-8b-instruct,5,3,589,4821
meta-llama_llama-3.1-8b-instruct,5,4,721,4821
meta-llama_llama-3.1-8b-instruct,5,5,1078,4821
meta-llama_llama-3.3-70b-instruct,5,1,1849,5177
meta-llama_llama-3.3-70b-instruct,5,2,966,5177
meta-llama_llama-3.3-70b-instruct,5,3,591,5177
meta-llama_llama-3.3-70b-instruct,5,4,487,5177
meta-llama_llama-3.3-70b-instruct,5,5,1284,5177
openai_gpt-4o-mini,5,1,1224,4183
openai_gpt-4o-mini,5,2,607,4183
openai_gpt-4o-mini,5,3,489,4183
openai_gpt-4o-mini,5,4,483,4183
openai_gpt-4o-mini,5,5,1380,4183
qwen_qwen-2.5-coder-32b-instruct,5,1,173,2999
qwen_qwen-2.5-coder-32b-instruct,5,2,111,2999
qwen_qwen-2.5-coder-32b-instruct,5,3,103,2999
qwen_qwen-2.5-coder-32b-instruct,5,4,133,2999
qwen_qwen-2.5-coder-32b-instruct,5,5,2479,2999
