model,package,run_a,run_b,jaccard
anthropic_claude-haiku-4.5,Complex.js,1,2,1
anthropic_claude-haiku-4.5,Complex.js,1,3,0.9982935153583617
anthropic_claude-haiku-4.5,Complex.js,1,4,0.9915110356536503
anthropic_claude-haiku-4.5,Complex.js,1,5,0.9982935153583617
anthropic_claude-haiku-4.5,Complex.js,2,3,0.9982935153583617
anthropic_claude-haiku-4.5,Complex.js,2,4,0.9915110356536503
anthropic_claude-haiku-4.5,Complex.js,2,5,0.9982935153583617
anthropic_claude-haiku-4.5,Complex.js,3,4,0.9898305084745763
anthropic_claude-haiku-4.5,Complex.js,3,5,1
anthropic_claude-haiku-4.5,Complex.js,4,5,0.9898305084745763
anthropic_claude-haiku-4.5,countries-and-timezones,1,2,1
anthropic_claude-haiku-4.5,countries-and-timezones,1,3,0.9880952380952381
anthropic_claude-haiku-4.5,countries-and-timezones,1,4,1
anthropic_claude-haiku-4.5,countries-and-timezones,1,5,1
anthropic_claude-haiku-4.5,countries-and-timezones,2,3,0.9880952380952381
anthropic_claude-haiku-4.5,countries-and-timezones,2,4,1
anthropic_claude-haiku-4.5,countries-and-timezones,2,5,1
anthropic_claude-haiku-4.5,countries-and-timezones,3,4,0.9880952380952381
anthropic_claude-haiku-4.5,countries-and-timezones,3,5,0.9880952380952381
anthropic_claude-haiku-4.5,countries-and-timezones,4,5,1
anthropic_claude-haiku-4.5,node-jsonfile,1,2,0.9854014598540146
anthropic_claude-haiku-4.5,node-jsonfile,1,3,0.9854014598540146
anthropic_claude-haiku-4.5,node-jsonfile,1,4,1
anthropic_claude-haiku-4.5,node-jsonfile,1,5,0.9854014598540146
anthropic_claude-haiku-4.5,node-jsonfile,2,3,1
anthropic_claude-haiku-4.5,node-jsonfile,2,4,0.9854014598540146
anthropic_claude-haiku-4.5,node-jsonfile,2,5,1
anthropic_claude-haiku-4.5,node-jsonfile,3,4,0.9854014598540146
anthropic_claude-haiku-4.5,node-jsonfile,3,5,1
anthropic_claude-haiku-4.5,node-jsonfile,4,5,0.9854014598540146
anthropic_claude-haiku-4.5,pull-stream,1,2,0.9951060358890701
anthropic_claude-haiku-4.5,pull-stream,1,3,0.990228013029316
