model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
anthropic_claude-haiku-4.5,Complex.js,1,run1,,490,1130,585,493,52,66,51.76991150442478,5.84070796460177,43.6283185840708,55.38,324,261,0,159.248,923393,122500,0.923393,0.6125,1.5358930000000002,0.0013591973451327435,0.00262545811965812,0.00295933140655106,0.005884647509578545,0.006620228448275863,0.02773371253159986,29,232
anthropic_claude-haiku-4.5,countries-and-timezones,1,run1,,106,265,167,81,17,10,63.0188679245283,3.7735849056603774,30.566037735849054,79.64,133,34,0,171.79500000000002,100232,26500,0.100232,0.1325,0.232732,0.0008782339622641509,0.0013936047904191617,0.0014823694267515923,0.0068450588235294115,0.013690117647058823,0.0029223003515821194,17,17
anthropic_claude-haiku-4.5,node-jsonfile,1,run1,,68,188,136,46,6,5,72.3404255319149,2.6595744680851063,24.46808510638298,67.65,49,44,43,348.846,53339,17000,0.053339,0.085,0.138339,0.000735845744680851,0.0010171985294117646,0.0010560229007633586,0.0031440681818181815,0.0040687941176470585,0.002044922394678492,10,34
anthropic_claude-haiku-4.5,pull-stream,1,run1,,351,880,619,209,52,23,70.3409090909091,2.6136363636363633,23.75,62.84,348,230,41,929.033,188727,87685,0.188727,0.438425,0.627152,0.0007126727272727273,0.0010131696284329565,0.001052268456375839,0.0027267478260869565,0.002812340807174888,0.009980140038192234,7,223
anthropic_claude-haiku-4.5,spacl-core,1,run1,,134,337,180,127,30,9,53.41246290801187,2.6706231454005933,37.68545994065282,86.98,147,22,0,639.079,155672,33496,0.155672,0.16748,0.323152,0.0009589080118694362,0.0017952888888888888,0.0018897777777777778,0.014688727272727272,0.024857846153846154,0.0037152448838813517,9,13
anthropic_claude-haiku-4.5,zip-a-folder,1,run1,,49,137,80,45,12,1,58.3941605839416,0.7299270072992701,32.846715328467155,97.5,16,2,62,812.475,81937,12250,0.081937,0.06125,0.143187,0.0010451605839416058,0.0017898375,0.0018124936708860762,0.0715935,0.0715935,0.0014685846153846154,0,2
anthropic_claude-sonnet-4.5,Complex.js,1,run1,,490,1160,806,337,17,73,69.48275862068965,6.293103448275862,29.051724137931036,55.96,451,355,0,231.77,923393,122495,2.770179,1.837425,4.607604,0.003972072413793104,0.005716630272952854,0.006285953615279673,0.0129791661971831,0.01486323870967742,0.08233745532523232,45,310
anthropic_claude-sonnet-4.5,countries-and-timezones,1,run1,,106,284,234,47,3,21,82.3943661971831,7.394366197183098,16.549295774647888,82.05,192,42,0,247.668,100232,25866,0.300696,0.38799,0.688686,0.002424950704225352,0.002943102564102564,0.003233267605633803,0.016397285714285715,0.025506888888888888,0.008393491773308958,15,27
anthropic_claude-sonnet-4.5,node-jsonfile,1,run1,,68,193,171,21,1,7,88.60103626943005,3.6269430051813467,10.880829015544041,75.44,68,42,61,477.462,53339,15735,0.160017,0.23602499999999998,0.396042,0.0020520310880829014,0.002316035087719298,0.002414890243902439,0.00942957142857143,0.014144357142857143,0.0052497613997879115,14,28
anthropic_claude-sonnet-4.5,pull-stream,1,run1,,351,922,787,128,7,30,85.35791757049893,3.2537960954446854,13.882863340563992,68.61,473,247,67,1234.963,188727,85801,0.566181,1.287015,1.853196,0.0020099739696312364,0.0023547598475222365,0.0024480792602377807,0.007502817813765182,0.007595065573770492,0.02701058154787932,3,244
