provider,package,cheapModel,premiumModel,deltaCostPerUnique,deltaCostPerNonEquivSurvivor,deltaNonEquivSurvivors
OpenAI,Complex.js,openai_gpt-4o-mini,openai_gpt-4o,-0.0025021688115146,-0.0065530339672462,-51
OpenAI,countries-and-timezones,openai_gpt-4o-mini,openai_gpt-4o,-0.0015819051869158,-0.0138746839285714,-17
OpenAI,node-jsonfile,openai_gpt-4o-mini,openai_gpt-4o,-0.0015867583892617,-0.00730820925,-7
OpenAI,pull-stream,openai_gpt-4o-mini,openai_gpt-4o,-0.0013800423804967,-0.0040610882597352,-25
OpenAI,spacl-core,openai_gpt-4o-mini,openai_gpt-4o,-0.0022432936099333,-0.0290321776315789,-7
OpenAI,zip-a-folder,openai_gpt-4o-mini,openai_gpt-4o,-0.0021183139321468,-0.04992879,0
Google,Complex.js,google_gemini-3.1-flash-lite,google_gemini-3.5-flash,-0.0017825324636552,-0.0042162895352564,-34
Google,countries-and-timezones,google_gemini-3.1-flash-lite,google_gemini-3.5-flash,-0.0011990301204819,-0.0089368789473684,-11
Google,node-jsonfile,google_gemini-3.1-flash-lite,google_gemini-3.5-flash,-0.0011092642118076,-0.0046456488095238,-8
Google,pull-stream,google_gemini-3.1-flash-lite,google_gemini-3.5-flash,-0.000966335768569,-0.0026032360291276,-48
Google,spacl-core,google_gemini-3.1-flash-lite,google_gemini-3.5-flash,-0.0017945265038087,-0.0188648116883116,-1
Google,zip-a-folder,google_gemini-3.1-flash-lite,google_gemini-3.5-flash,-0.0014815004578754,-0.0650025714285714,4
Anthropic,Complex.js,anthropic_claude-haiku-4.5,anthropic_claude-sonnet-4.5,-0.0033266222087286,-0.0082430102614015,-78
Anthropic,countries-and-timezones,anthropic_claude-haiku-4.5,anthropic_claude-sonnet-4.5,-0.0017508981788822,-0.01181677124183,-10
Anthropic,node-jsonfile,anthropic_claude-haiku-4.5,anthropic_claude-sonnet-4.5,-0.001358867343139,-0.01007556302521,6
Anthropic,pull-stream,anthropic_claude-haiku-4.5,anthropic_claude-sonnet-4.5,-0.0013958108038619,-0.0047827247665956,-21
Anthropic,spacl-core,anthropic_claude-haiku-4.5,anthropic_claude-sonnet-4.5,-0.0024678176767676,-0.0816611538461538,4
Anthropic,zip-a-folder,anthropic_claude-haiku-4.5,anthropic_claude-sonnet-4.5,-0.0021402007735583,-0.0137846999999999,-3
Meta,Complex.js,meta-llama_llama-3.1-8b-instruct,meta-llama_llama-3.3-70b-instruct,-8.55580289466e-05,-0.0002286651330217,3
Meta,countries-and-timezones,meta-llama_llama-3.1-8b-instruct,meta-llama_llama-3.3-70b-instruct,-4.7092225887e-05,-0.0004822852777777,5
Meta,node-jsonfile,meta-llama_llama-3.1-8b-instruct,meta-llama_llama-3.3-70b-instruct,-4.46553880456e-05,-0.0002682012512315,6
Meta,pull-stream,meta-llama_llama-3.1-8b-instruct,meta-llama_llama-3.3-70b-instruct,-4.15074549455e-05,-0.0001268491626606,-31
Meta,spacl-core,meta-llama_llama-3.1-8b-instruct,meta-llama_llama-3.3-70b-instruct,-7.27315297478e-05,-0.001148535625,0
Meta,zip-a-folder,meta-llama_llama-3.1-8b-instruct,meta-llama_llama-3.3-70b-instruct,-6.92367708333e-05,-0.0012829586666666,-1
