model,nObservations,totalCostUsd,portfolioCostPerSurvivor,portfolioCostPerValid,portfolioCostPerUnique,portfolioCostPerNonEquiv,nonEquivYield,medianCostPerSurvivor,medianCostPerValid,medianCostPerUnique,medianCostPerNonEquiv,medianMutationScore,meanDuplicateRate,meanInvalidRate,efficiencyRank,paretoEfficient
meta-llama_llama-3.1-8b-instruct,6,0.03518493,0.00004623512483574245,0.000013449896788990826,0.00001383055424528302,0.00004948654008438819,20207.514978713898,0.00005067106982686692,0.000013149312662169175,0.000013527880343441724,0.00006360840710723192,76.78999999999999,2.1115786737822186,25.370528624525488,1,1
meta-llama_llama-3.3-70b-instruct,6,0.20556483999999997,0.0002497750182260024,0.00007421113357400721,0.00007786546969696969,0.0002819819478737997,3546.326307553374,0.0002942680456621005,0.00007032574061510629,0.00007249180316091955,0.00043538337164750955,79.32499999999999,2.9140240361352476,19.746165136745848,2,1
openai_gpt-4o-mini,6,0.3368958,0.00046468386206896555,0.00013263614173228348,0.00014002319201995012,0.0005143447328244275,1944.2213289687788,0.0006645348387096775,0.00013027841679216868,0.00013764048346513302,0.0018257235,83.465,3.4113434444628195,26.898094901852048,3,1
deepseek_deepseek-chat-v3.1,6,0.48052283,0.000529793638368247,0.00017454516164184527,0.00018675586086280607,0.0006098005456852792,1639.8804610386564,0.000709266634920635,0.00016397921455938694,0.00017067216124661244,0.0012404119230769231,81.435,4.426326888016632,16.570922227101402,4,
google_gemini-3.1-flash-lite,6,0.75191975,0.0008743252906976744,0.00027472405918889294,0.0002883127875766871,0.001013368935309973,986.8074352349437,0.001465076388888889,0.00026759833333333334,0.0002817946428571429,0.0021702194548872183,81.06,3.6493206958691826,19.829658922413017,5,
qwen_qwen-2.5-coder-32b-instruct,6,1.0893099400000001,0.0015235104055944058,0.00039960012472487166,0.0004256779757717859,0.0016529741122913507,604.970152021196,0.0028006249248120297,0.0003754669247126957,0.0003975666443188072,0.004190002954545455,88.53999999999999,3.982269333029313,17.575008248401584,6,1
google_gemini-3.5-flash,6,4.562028,0.0047225962732919255,0.0016125938494167549,0.0017092648932184337,0.005430985714285714,184.1286375269946,0.0059669066666666664,0.0015758974672939357,0.0016220599320358356,0.008961483333333332,76.52,3.625121794180448,17.749059375527604,7,
anthropic_claude-haiku-4.5,6,3.000455,0.005059789207419899,0.0016980503678551218,0.0018151572897761646,0.005759030710172745,173.64033121643217,0.006364853166553978,0.0015917211452095808,0.0016474315488188341,0.010155173047667342,73.64500000000001,3.0480089757805797,32.1574361159038,8,
openai_gpt-4o,6,5.66456,0.006617476635514019,0.0020303082437275986,0.0021359577677224737,0.007433805774278215,134.52059824593613,0.009532608093126387,0.0019459576025783656,0.001994909224137931,0.014083426339285715,80.575,3.2796126335582385,19.832029839234337,9,
anthropic_claude-sonnet-4.5,6,8.931090000000001,0.012632376237623763,0.0037972321428571434,0.0040688337129840555,0.014335617977528092,69.75632313636969,0.014688225955734407,0.0033438802294197033,0.003592981025039124,0.020185063799283153,78.745,5.129390325222725,18.821414402912584,10,
